Hour_End,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,ERCOT
4/29/2014 10:00,10744.6239366241,1288.08928564775,1801.95016066979,719.507310267493,10730.7966996185,3077.59563844495,5508.38363479347,949.374472934,34820.321139
4/29/2014 10:59,11196.4407736988,1308.52065553483,1824.52204483584,734.474656505151,11043.639304936,3334.36998476596,5717.73558166687,972.330242056505,36132.033244
4/29/2014 12:00,11842.3310929045,1321.45625461434,1836.34920657901,739.536457921624,11237.2595195241,3592.23160000048,5917.7273057602,986.027162695785,37472.9186
4/29/2014 13:00,12295.8167599982,1349.09300467917,1837.47584960013,743.356352108161,11420.3212644764,3834.81526995877,6115.16405195157,996.475302227553,38592.517855
4/29/2014 13:59,12577.2865245354,1325.07011321489,1855.89632276698,751.199722278441,11652.096060707,4054.91385939393,6351.69737433264,1012.55800677064,39580.7179839999
4/29/2014 15:00,12728.4839366858,1349.10292830656,1873.04741760079,748.903789386593,11837.9075368374,4226.82759074929,6590.81385043992,1031.87760199365,40386.964652
4/29/2014 16:00,12869.9675236645,1373.06916697037,1884.22517992684,745.641850812636,11978.1023292,4320.14584077681,6863.9907957507,1045.8843378981,41081.027025
4/29/2014 16:59,12945.3485899571,1392.85655183714,1898.75677486482,744.634973247208,12074.9984757354,4358.03279851594,7081.83627301104,1059.28999083134,41555.754428
4/29/2014 18:00,12780.7441621489,1359.54062813986,1889.81829206314,733.91037575173,11974.2166217246,4263.13288264188,7152.84150296056,1052.89974956939,41207.104215
4/29/2014 19:00,12248.2956707541,1428.58962944123,1873.37138274535,726.695020794324,11644.2701207215,4032.80695387458,7036.30864005469,1030.25222961431,40020.589648
4/29/2014 19:59,11646.8952839388,1401.75372159906,1847.40790791839,719.749406411113,11269.6586777224,3783.57391702569,6721.01853136217,1008.88679902247,38398.944245
4/29/2014 21:00,11620.2213106742,1417.18889669423,1854.53900355254,743.658632316727,11591.6892866302,3738.5083462022,6681.45902374732,1023.58378118258,38670.848281
4/29/2014 22:00,11028.2507601244,1370.28389620632,1858.37337982669,733.685237419035,11273.7223280906,3583.66515620115,6377.16716189702,1006.39072423481,37231.538644
4/29/2014 22:59,10026.7478522506,1216.6706136074,1798.68682990007,696.196668842162,10216.8408675232,3239.97068560472,5724.86603135228,934.47787891959,33854.457428
4/30/2014 0:00,9048.7714,1088.78854,1727.5424,642.69053,9090.3149,2838.9666,4998.28161,853.12624,30288.48222
